year,NINO34_DJF,Bermuda,Nepal,Bhutan,The Bahamas,Bangladesh,Mexico,Cuba,Turks and Caicos Islands,Cayman Islands,Dominican Republic,British Virgin Islands,Anguilla,Puerto Rico,Saint Barthelemy,Saint Martin,United States Virgin Islands,Antigua and Barbuda,Belize,Montserrat,Saint Kitts and Nevis,Vietnam,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Laos,Malaysia,Maldives,Dominica,Martinique,Thailand,El Salvador,Saint Lucia,Aruba,Barbados,Cambodia,Nicaragua,Saint Vincent and the Grenadines,Grenada,Philippines,Costa Rica,Trinidad and Tobago,Panama,Venezuela,Colombia,French Guiana,Suriname,Singapore,Ecuador,Indonesia,Peru,Brazil,Bolivia,New Caledonia,Paraguay,Uruguay,Bermuda,Nepal,Bhutan,The Bahamas,Bangladesh,Mexico,Cuba,Turks and Caicos Islands,Cayman Islands,Dominican Republic,British Virgin Islands,Anguilla,Puerto Rico,Saint Barthelemy,Saint Martin,United States Virgin Islands,Antigua and Barbuda,Belize,Montserrat,Saint Kitts and Nevis,Vietnam,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Laos,Malaysia,Maldives,Dominica,Martinique,Thailand,El Salvador,Saint Lucia,Aruba,Barbados,Cambodia,Nicaragua,Saint Vincent and the Grenadines,Grenada,Philippines,Costa Rica,Trinidad and Tobago,Panama,Venezuela,Colombia,French Guiana,Suriname,Singapore,Ecuador,Indonesia,Peru,Brazil,Bolivia,New Caledonia,Paraguay,Uruguay
1980,0.436,0.004029788,0.000738479,0.002274807,0.001908753,0.00055156,0.001539204,0.000932135,0.000919376,0.001193158,0.001438648,0.0011598,0.001490414,0.001191972,0.001468531,0.001432305,0.001285645,0.001710713,0.003377006,0.001708337,0.00161146,0.001095474,0.001695435,0.001571852,0.003461443,0.00233017,0.001085281,0.000261476,0.004070009,0.004067615,0.003256028,0.00266105,0.000328194,0.000330446,0.001977544,0.001969965,0.002168662,0.000218091,0.00092009,0.001991017,0.002150091,0.003426854,0.004426757,0.002695452,0.002967319,0.001817483,0.006633945,0.005171038,0.003007627,0.002251444,0.007480352,0.009758317,0.003996219,0.007323594,0.008593882,0.004943084,0.006311694,0.002639799,291.1617,285.6319341,280.9271371,294.7329964,292.6243343,288.4067741,295.3573629,297.20052,298.3507733,295.6801102,298.06209,298.0969733,296.6779568,298.18331,298.15566,298.2893233,298.21814,296.1970331,298.2503367,298.1500667,294.1442744,297.8201803,291.6896166,298.1796945,294.6773161,296.4703234,293.4618311,298.7174275,299.76562,297.6188567,297.7469934,297.8089151,298.2628815,298.4406,299.07502,298.6843367,299.9548376,298.0579951,298.6150933,298.7726067,297.5242484,293.3291359,298.1710595,297.9937178,297.1218844,292.4641247,298.0524671,298.4100948,299.33131,292.3346742,297.7799957,289.6893657,297.0248562,289.4900756,298.0083175,298.9662472,295.7351433
1981,-0.305333333,0.005478735,0.001136746,0.00184233,0.001485239,0.000693932,0.001299738,0.000901612,0.002355104,0.002070636,0.00202009,0.001405043,0.001185017,0.001931046,0.001067142,0.001113507,0.0012691,0.00119366,0.003356428,0.001176372,0.001228236,0.001531113,0.001456909,0.001457218,0.003853551,0.002626371,0.001589016,0.000481313,0.005953464,0.002087921,0.002619137,0.002320763,0.000707612,5.15E-05,0.002057274,0.002114641,0.002145288,0.000454881,0.00060659,0.002447041,0.00236846,0.00443447,0.005427051,0.001854592,0.002875901,0.002061666,0.00747075,0.008010796,0.004399091,0.003419099,0.008337633,0.010596732,0.005161428,0.00594159,0.008733101,0.00532294,0.006005459,0.00371415,290.6596,285.7409078,281.7897849,294.0185401,292.7957742,287.8358706,294.3300437,296.98949,297.49435,295.785569,298.3242267,298.3283467,297.1537292,298.3976967,298.3965167,298.5481533,298.3565533,294.5938005,298.4347167,298.3583267,294.3224528,298.0197856,290.612748,298.3498819,293.364176,296.4946276,293.9652153,298.2690256,299.7153933,297.8217133,297.948674,297.7391563,297.4774992,298.6445467,299.15527,298.7532767,299.5911658,297.2190165,298.7615033,298.9248933,297.3929118,292.8566797,298.5231037,298.0289437,297.3608164,292.3783672,298.1172315,298.5745846,299.31631,291.9412185,297.6185955,289.2054623,297.5194086,289.50617,297.2612117,299.304233,295.8815168
1982,-0.065,0.002992402,0.000934075,0.001712842,0.001013525,0.000792528,0.001013407,0.000741588,0.001716229,0.00110172,0.002264473,0.00292325,0.0022388,0.002894124,0.002255301,0.002280449,0.003193572,0.002417182,0.002652592,0.002427397,0.002469048,0.001549108,0.002218371,0.001662273,0.005849325,0.002302705,0.001477547,0.00046265,0.004520472,0.002395965,0.003360165,0.002633324,0.000468451,0.000584353,0.002029772,0.001902469,0.002513838,0.000529225,0.00092328,0.002498907,0.002603419,0.003643831,0.00363627,0.003415672,0.003421386,0.002627728,0.008314468,0.007235339,0.004604009,0.00317314,0.008398881,0.011678865,0.0053286,0.006213731,0.008828907,0.009795711,0.006673729,0.003519857,290.7254333,285.1539954,281.275103,295.345574,292.513829,289.1011565,296.0580426,297.2621967,298.5893,295.5377745,298.0356567,298.0327167,296.4414194,298.0967867,298.09266,298.28014,298.19668,296.6655584,298.27897,298.10618,293.6262401,297.8170166,292.0537518,298.2486874,294.9176692,296.9899802,292.857604,298.5755862,299.5320133,297.74942,297.9395304,297.0584491,298.5167713,298.65864,299.1264933,298.85025,298.5292976,298.13303,298.7626767,298.9525133,297.0491247,293.546375,298.2973335,297.9428492,296.9288185,292.1855434,298.2236412,298.5528276,299.1264833,292.5817103,297.643964,289.3871069,297.0091639,289.4694819,297.7810165,298.7115476,295.1938435
1983,2.162666667,0.004954594,0.000910061,0.002431006,0.004003349,0.000490975,0.00134151,0.002748967,0.001282459,0.001904041,0.001790196,0.001171656,0.001334322,0.001203602,0.00139876,0.001330391,0.001255738,0.001592855,0.002477151,0.00145141,0.001487553,0.00140165,0.001405833,0.001430621,0.00442176,0.001645476,0.001499555,0.000972155,0.004438857,0.005457518,0.002238015,0.001985802,0.00058972,0.000218091,0.001643933,0.001647862,0.001659649,0.000180035,0.000564187,0.001830171,0.002563342,0.001833495,0.002299814,0.003373689,0.001377794,0.002220299,0.005982258,0.004887402,0.003286247,0.005821352,0.018865906,0.011465602,0.006905181,0.007149743,0.007232458,0.005359505,0.005658556,0.003476721,291.5799933,284.4442539,279.7866141,295.2853345,291.9899892,287.5083617,295.8639483,297.3762033,298.5369833,295.6941267,297.8187733,297.75354,296.7099506,297.8064433,297.80586,298.0903233,297.8464167,296.106182,297.9392533,297.8046933,293.2001789,297.5272725,291.5872223,298.2015655,294.7484057,297.271466,292.3854946,299.1488438,299.9058133,297.4502733,297.6371842,297.1555818,298.12409,298.39768,298.7991133,298.5175867,299.1993029,298.3847606,298.4764533,298.68922,298.0593682,294.2131194,298.1915852,298.4661373,297.4053852,292.749957,298.401865,298.7332335,299.56905,292.7447688,298.4679511,291.1385639,297.4659963,290.1686631,297.2773296,299.0723613,296.396912
1984,-0.617,0.006326636,0.001038634,0.002019225,0.002455774,0.000514822,0.001149418,0.00123703,0.001597568,0.001731157,0.001686115,0.001346894,0.001273813,0.001741836,0.001243951,0.001263599,0.00122195,0.001201518,0.002796129,0.001229805,0.001193658,0.001317215,0.001423903,0.001444616,0.006839112,0.002468011,0.001292546,0.000416693,0.010763869,0.005038676,0.002112284,0.001979468,0.00098112,0.000411196,0.001460835,0.001246308,0.001761807,0.000389449,0.000776078,0.00157321,0.001824672,0.003899208,0.003697161,0.002345929,0.004024249,0.00230451,0.009631144,0.008650091,0.005097181,0.008644804,0.009997888,0.012349652,0.006297809,0.004957498,0.0066651,0.005860612,0.003639338,0.005311471,292.1353967,284.616748,280.746228,295.7827268,291.743781,288.1349941,296.3327263,297.98511,298.8167433,296.0590428,298.0820733,298.0327133,296.8154773,298.0668,298.0738467,298.3142433,298.0979633,296.0165501,298.1479167,298.0438767,292.6825075,297.6395162,291.3666214,297.7373744,294.4120538,297.3616961,292.7106584,297.764635,299.36392,297.4632067,297.5983531,297.090198,297.7743255,298.31894,298.7297567,298.39712,299.2785329,298.0338093,298.33833,298.4982,297.4330014,292.8907791,297.8907155,297.3134145,297.2242966,291.3502274,297.8652826,298.2046643,298.5040767,291.5108594,297.5108943,289.085548,298.0640894,288.8945534,296.6652493,300.2342555,296.5834566
1985,-1.061666667,0.003156637,0.000711624,0.002149933,0.00073837,0.000313996,0.001062776,0.000593959,0.001263599,0.000843185,0.001407452,0.001199161,0.001071858,0.001247984,0.001052998,0.001056927,0.001163798,0.00119366,0.002531127,0.001243167,0.001158297,0.001665361,0.001521346,0.001066477,0.004692728,0.001781531,0.001149209,0.000795807,0.007146753,0.003624201,0.001480483,0.001494986,0.00103632,7.20E-05,0.001251809,0.001578711,0.001340608,0.000770379,0.000783958,0.001254953,0.001997553,0.002808963,0.002414234,0.002488552,0.001698881,0.001699073,0.005914046,0.006434106,0.003823237,0.005270494,0.007959853,0.010572313,0.005411448,0.007708382,0.007419666,0.005894837,0.005067285,0.002174828,291.0563267,285.448558,280.7426248,294.5513172,292.7234992,288.1341246,295.2735208,296.79024,297.6330433,295.3317559,297.3497733,297.3756333,296.1413952,297.45674,297.43498,297.58662,297.53667,295.7966511,297.5684,297.4220633,293.8938209,297.1593526,291.0585641,297.5727661,294.0377415,296.5644313,293.771184,298.4435301,299.64134,297.1581733,297.3278206,298.1251421,297.6209437,297.8951933,298.3853533,298.1949233,300.1026075,297.4034823,298.1708433,298.3113033,297.8972404,292.9216668,297.667355,297.6155606,296.3673773,291.8031656,297.886787,298.013864,299.2017133,291.3059712,297.8412278,289.0477886,297.1233595,289.1284339,298.0280303,298.8355485,295.0278914
1986,-0.574666667,0.006020166,0.000995716,0.001471948,0.001553629,0.000107961,0.000822909,0.00074954,0.001219591,0.000966556,0.001242933,0.000865186,0.000906835,0.001203292,0.000862042,0.000921766,0.000909979,0.000966559,0.00285687,0.000950843,0.000834542,0.001682965,0.001334322,0.001390304,0.003779934,0.002032278,0.001372864,0.000209187,0.00637573,0.002874528,0.001477338,0.001343976,0.000385061,0.000236998,0.001183443,0.002242729,0.001129222,0.000487432,0.000675162,0.001145723,0.001648647,0.004040597,0.004370079,0.001976982,0.002910414,0.002667081,0.008328065,0.006125871,0.003449579,0.00705116,0.009116842,0.011225725,0.006200596,0.00634444,0.007641206,0.004996994,0.004787277,0.002351014,292.1259933,285.5501309,281.8367921,295.2801434,293.1740359,288.2310686,295.7680588,297.55018,298.1743567,295.3189968,297.70535,297.6618533,295.9986662,297.7094567,297.7118033,297.9269067,297.6324633,296.0146228,297.6959467,297.6471533,293.4559172,297.1981303,291.2608221,297.8102826,294.3268313,296.5646914,293.0607939,298.243458,299.5884367,297.13995,297.3007967,297.1026416,297.6614989,297.9163367,298.1532033,298.0415233,298.8713894,297.746792,297.9774567,298.12852,297.3223446,292.8670346,297.7142963,297.3709528,296.1883999,291.5042543,297.9678031,298.2545266,298.9907067,291.5541806,297.5805713,289.0907831,297.3343686,289.1631634,297.6735267,300.561631,296.1291413
1987,1.135,0.006148254,0.000906735,0.001263961,0.003127376,0.000150951,0.000867307,0.001018441,0.000826682,0.001641576,0.001169611,0.001080501,0.001180301,0.001424406,0.001162226,0.001133936,0.00109229,0.001209376,0.00162821,0.001068711,0.001174015,0.001646354,0.001252594,0.000868186,0.004272667,0.001487272,0.001115818,0.000781973,0.004994821,0.006145112,0.001577926,0.001253607,0.00055698,0.000124737,0.001038852,0.000801533,0.001086786,0.000720896,0.00067314,0.001348466,0.001595214,0.00200732,0.00378201,0.001447979,0.001683339,0.00140264,0.0061927,0.007389026,0.003714079,0.006932504,0.014040459,0.010824069,0.006223105,0.006337466,0.006732621,0.004336755,0.007290501,0.002067778,291.4459967,285.8211671,281.671116,295.929892,293.3282159,288.1111657,296.3058111,297.66772,298.5205267,295.9737794,298.08444,297.9921667,296.6050645,298.02742,298.0380067,298.32482,298.09971,296.0564094,298.15203,298.0192,295.0730252,297.7141724,291.5256351,298.1633414,294.0785995,296.9493101,293.8930025,298.5655192,299.8640967,297.5437233,297.7289244,297.900691,297.8091518,298.4047467,298.7979333,298.30835,299.4055711,298.0074192,298.31718,298.49702,297.4357333,293.649661,298.043979,298.208314,297.2415765,292.5494564,298.3649936,298.7011758,299.1059167,292.2336385,297.7887017,289.96281,297.6398681,289.4750862,296.6235751,299.097491,296.1686486
1988,0.719,0.004110622,0.000688463,0.001411682,0.001710924,0.000762178,0.000770667,0.001204419,0.001978693,0.001416832,0.002763724,0.001265953,0.001066357,0.001789615,0.001041209,0.001071071,0.001313893,0.001384613,0.003304555,0.001529992,0.001375968,0.001522441,0.001683225,0.001648611,0.004094656,0.00253303,0.001558091,0.000377856,0.008410039,0.002682788,0.00210128,0.001760664,0.000927626,0.000107667,0.001351607,0.001642361,0.001354752,0.000421266,0.000809843,0.001389327,0.001758665,0.003333602,0.003520745,0.001912396,0.002587403,0.00170991,0.007269702,0.006455747,0.003151192,0.007150961,0.009090922,0.012718699,0.005544747,0.006464489,0.007225128,0.007944153,0.005037886,0.003840638,291.5417867,286.6121544,282.5728783,294.957191,293.3482781,288.6466935,296.0587391,297.7223933,298.6081033,296.0744935,298.3871067,298.32187,296.9285379,298.3642,298.37713,298.6263233,298.3765333,296.2581592,298.4376633,298.31894,294.2174197,298.0080363,292.0484342,298.6068491,294.9186582,297.5578105,293.6233855,298.8629122,300.3172333,297.971,298.1348295,297.7325741,298.8723571,298.8720033,299.19642,298.92313,299.8704943,298.8606845,298.8990333,299.0577167,298.717974,293.952797,298.6532748,298.3390985,297.368966,292.6304505,298.5634347,299.1636076,299.5672833,292.3579539,298.100895,289.9461995,297.9414502,289.9648441,297.5214938,298.8813961,295.0454766
1989,-1.783666667,0.003620272,0.001533213,0.002139558,0.000972985,0.000290419,0.000734647,0.000814093,0.001741375,0.001602285,0.001996144,0.001574782,0.001446694,0.001682523,0.00158264,0.001496198,0.001552778,0.001839603,0.002504308,0.001901681,0.001577926,0.001171047,0.00226866,0.001237831,0.007116465,0.002545607,0.001551409,0.000349821,0.00559654,0.005735698,0.002601062,0.002150306,0.000518961,6.83E-05,0.00144355,0.002647425,0.001519774,0.000350124,0.000958167,0.001511129,0.002296949,0.004715193,0.00414092,0.0029187,0.002778934,0.002800785,0.008666724,0.009833147,0.006409902,0.003461537,0.010712364,0.011625436,0.006672441,0.006373291,0.007345252,0.012680438,0.00653755,0.001344983,291.75867,285.3712637,280.9403179,295.5443172,292.3243538,288.8837886,296.091575,297.1599333,298.0803267,295.3538981,297.6412867,297.5813233,296.2887401,297.63836,297.6312867,297.8258267,297.6148233,295.901634,297.6559767,297.56017,293.703755,297.1199748,291.0815009,297.7961806,294.0825484,296.610975,293.3167053,298.3353192,299.6049,297.1182067,297.345246,297.8018212,298.0183857,298.07444,298.3107033,298.2301867,299.5129939,297.5559542,298.1655367,298.32129,297.6198679,292.888402,297.8357512,297.4021317,296.169483,291.5610014,297.6999718,298.1000714,299.0782867,291.163321,297.5214995,289.0826317,297.4122963,289.2966119,297.4058927,299.1886152,297.2696675
