Year,NINO1+2,NINO3,NINO4,NINO3.4,MEI,ONI,Bermuda,Nepal,Bhutan,Bahamas,Bangladesh,Mexico,Cuba,Turks and Caicos Islands,British Virgin Islands,Cayman Islands,Dominican Republic,Anguilla,Puerto Rico,Saint Barthelemy,Saint Martin,United States Virgin Islands,Antigua and Barbuda,Belize,Montserrat,Saint Kitts and Nevis,Vietnam,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Lao PDR,Malaysia,Maldives,Dominica,Martinique,Thailand,El Salvador,Saint Lucia,Aruba,Barbados,Cambodia,Nicaragua,Saint Vincent and the Grenadines,Grenada,Philippines,Costa Rica,Trinidad and Tobago,Panama,"Venezuela, RB",Colombia,French Guiana,Suriname,Singapore,Ecuador,Indonesia,Peru,Brazil,Bolivia,New Caledonia,Paraguay,Uruguay
1980,-0.224,0.279333333,0.426333333,0.436,0.35,0.6,1.829156759,0.006410075,0.240814724,0,0.00476589,75.92623702,1.72288874,0,0,0,0.938184093,0,28.72738615,0,0,0,1.541093252,2.756092687,0,0,130.247788,0,0.435391779,0,55.00279249,0.42143789,54.79877447,5.05459148,0.60647595,0,0,94.84943434,45.68648603,4.932871836,1.60598712,0,6.759199408,0,0,0,1.99919264,0,0,0,0.256402789,34.24485491,0,0,235.3926312,0,3.379064738,0,0,0,450.5533738,0,0
1981,-0.992666667,-0.527,-0.018666667,-0.305333333,-0.33,-0.3,1.816530427,0.006261822,0.233295462,0,0.004642804,24.62093317,3599.663301,0,0,0,10.5178307,0,257.513218,0,0,127.1869648,118.3231913,4.705439488,0,53.5469001,65.07506191,0,1.470757522,6.541094748,41.37857391,0,14.41711686,3.862998037,0.5894037,24.68052432,2.987669886,54.93577501,113.9767602,0,1.597086913,2.355860596,7.824686793,0,0,2.10035496,0.24758788,0,1.312686237,0,0.454009886,40.28226406,0,5.853258802,125.7036168,0,3.895538726,0,0,0,0.701016474,0,0
1982,-0.381,0.042666667,-0.004333333,-0.065,-0.38,0,1.803459034,0.006117284,0.226141506,0,0.001129237,46.19514025,0,0,0,0,7.231945448,0,290.957643,0,0,1.998640924,7.665067223,316.2542894,0,0,71.55214719,0.295019191,0.454379099,0,30.30644875,0.954716436,10.07617647,21.92366671,0.572990379,0,0,46.64536982,112.3066916,24.56535176,1.584384308,38.72603093,10.74066963,0,0.03778624,7.251331137,0.598760993,0,1.382719464,0,0.242663263,24.72524004,0,7.421386315,198.2124176,0,3.005244045,0,8.58938183,0,0,0,0
1983,2.541666667,2.704666667,0.511,2.162666667,2.57,2.2,1.787949222,0.005973479,0.219282376,0,0.001098352,26.39833264,0,0,0,0,8.7519336,30.29843963,84.2308596,0,0,0.996532068,1.528864971,16.6610062,0,0,251.4933668,0,0.026800365,0,17.61812603,3.224676659,5.756433449,5.527234503,0.557603198,2.767438321,0,61.69026392,81.32751062,0,1.570277782,24.56092474,51.51147304,0,0,6.111411023,3.22483753,0,9.989131483,0,0.0363425,46.06963994,0,0,186.9005507,0,8.737922168,0,0,0,14.12239408,0,0
1984,-0.307333333,-0.518,-0.685666667,-0.617,-0.5,-0.6,1.772326888,0.005833758,0.212691289,0,0.001069127,37.6284259,0,0,0,0,4.138740779,0,55.76836244,0,0,72.56461233,0,79.51365193,0,0,52.21304216,96.58752568,0,0,8.869244113,0.530013096,0.60440291,4.779914879,0.542334642,0,0,139.2134582,11.71004506,0,1.558263471,24.48703548,9.069374265,0,0,3.011503945,4.755679622,0,2.616592403,0,0.117971592,26.28182087,0,0,77.94868076,0,7.82963493,0,0,0,27.69535114,0,0
1985,-0.824,-1.136666667,-0.675,-1.061666667,-0.25,-1,1.75753102,0,0,0,0.001042111,18.28186626,0,0,0,0,1.433513489,0,70.41753035,0,12.72750414,42.67566495,0,0,0,4.745634017,75.41549874,60.36149831,0,0,6.996843216,0.130888339,47.41282081,2.429154889,0,0,0,158.2687913,8.714807812,0,1.550916592,0,81.07276348,464.7845329,0,0,3.086878104,0,0.416741333,0,0.011492731,28.2102116,0,0,113.6097235,0,8.195826746,0,0,0,40.78989964,0,0
1986,-0.160666667,-0.672333333,-0.146666667,-0.574666667,-0.36,-0.5,1.742706772,0,0,0,0,25.60860953,0,0,0,0,0.091542607,0,313.5307433,0,0,73.38212253,0,2.990591599,0,0,75.57197553,32.88986828,0,0,12.6008511,0.129540894,9.48448572,9.049575994,0,8.425191322,0,54.00828302,18.42766177,243.3053928,1.549114681,0,27.78895587,12.5648459,0,0,1.495281451,0,11.92071491,0,0,26.30498475,247.5408768,16.31105176,317.8080224,0,9.772651031,0,33.16233701,0,54.0197013,0,0
1987,0.822666667,1.033333333,0.463333333,1.135,0.98,1.2,1.728638352,0,0,0,0,17.24100048,0,0,0,0,0.298832164,0,170.0248413,0,0,76.31242505,0,0,0,0,566.0427036,92.49599363,27.81896216,0,5.61805855,0.12841119,244.9429843,12.63011907,0,2.8245396,0,332.1031249,57.52683928,0.731101038,1.55159038,30.15611589,46.59212345,1.623762547,0,3.976182666,1.496120146,0,10.15070137,0,0.31098845,57.21652301,0,0.251973583,390.0867854,0,13.84051016,0,62.05469107,29.9334948,3.115264798,0,0
1988,0.143333333,0.561666667,0.702,0.719,0.59,0.8,1.713884176,0,0,0,0,13.34228819,0,0,0,0,2.458222293,0,188.4626434,0,0,376.4165148,0,0,0,0,132.9845503,10.81828448,60.41092739,0,17.66387324,0.254798168,29.74261594,8.641653156,972.7221065,0,26.7135209,50.41286934,35.97372757,1.442377037,1.554436361,3.864555074,23.95468803,5.033110678,0.035135701,0,4.973115647,0,6.427597533,0,0.063827173,52.17436874,0,1.24335118,218.6016632,0.250757589,25.3695834,0,1.080865444,71.23675352,36.66361137,10.53470248,0
1989,-0.374,-1.326666667,-1.57,-1.783666667,-1.09,-1.7,1.69949525,0,0,32.76922555,0,8.879056617,0,0,0,0,0.100286059,0,257.1563048,0,0,272.1667442,0,0,0,0,61.41321953,9.58882099,84.57874437,0,51.02086503,1.348296617,15.57159931,15.06450328,0,0,4.34301101,136.9394642,9.827683522,2.847846672,1.548083473,17.39069945,26.09985757,15.95855329,0,1.007820689,0.50725674,0,0.875649772,0,34.70764541,31.61658681,0,0.979527868,840.4558405,0.186088695,5.790470986,0,3.626267776,0,1497.321717,1057.882898,0
