dengue_total,year,log(incidence),incidence,case,log(case),de_incidence,NINO34_lag0,NINO34_de_lag0,de_case,de_nor_case
ANGUILLA,1980,0,0,0,0,20.6159828,0.436,0.324976016,4.101219512,0.282969879
ANGUILLA,1981,0,0,0,0,16.87142827,-0.305333333,-0.411250531,3.540900563,0.244309821
ANGUILLA,1982,0,0,0,0,13.12687374,-0.065,-0.165810413,2.980581614,0.205649762
ANGUILLA,1983,1.495522687,30.29843963,2,0.477121255,39.68075884,2.162666667,2.06696304,4.420262664,0.304982747
ANGUILLA,1984,0,0,0,0,5.637764678,-0.617,-0.707596842,1.859943715,0.128329646
ANGUILLA,1985,0,0,0,0,1.893210148,-1.061666667,-1.147156723,1.299624765,0.089669588
ANGUILLA,1986,0,0,0,0,-1.851344382,-0.574666667,-0.655049938,0.739305816,0.051009529
ANGUILLA,1987,0,0,0,0,-5.595898911,1.135,1.059723515,0.178986867,0.012349471
ANGUILLA,1988,0,0,0,0,-9.340453441,0.719,0.6488303,-0.381332083,-0.026310587
ANGUILLA,1989,0,0,0,0,-13.08500797,-1.783666667,-1.848729581,-0.941651032,-0.064970645
ANGUILLA,1990,2.162266046,144.3001443,12,1.113943352,127.4705818,0.043333333,-0.016622796,10.49803002,0.72432755
ANGUILLA,1991,0,0,0,0,-20.57411703,0.400333333,0.34548399,-2.062288931,-0.142290762
ANGUILLA,1992,0,0,0,0,-24.31867156,1.766,1.716257442,-2.62260788,-0.18095082
ANGUILLA,1993,0,0,0,0,-28.06322609,0.147333333,0.102697561,-3.182926829,-0.219610878
ANGUILLA,1994,0,0,0,0,-31.80778062,0.117666667,0.07813768,-3.743245779,-0.258270937
ANGUILLA,1995,1.630088715,41.66666667,4,0.698970004,6.114331518,1.014,0.979577799,-0.303564728,-0.02094491
ANGUILLA,1996,1.046842421,10.13890297,1,0.301029996,-29.15798671,-0.870333333,-0.899648749,-3.863883677,-0.266594532
ANGUILLA,1997,0,0,0,0,-43.04144421,-0.501333333,-0.525541963,-5.424202627,-0.374251111
ANGUILLA,1998,0,0,0,0,-46.78599874,2.241333333,2.222231488,-5.984521576,-0.41291117
ANGUILLA,1999,2.052768631,111.919418,12,1.113943352,61.38886475,-1.547333333,-1.561328392,5.455159475,0.376387026
ANGUILLA,2000,1.449581663,27.15669413,3,0.602059991,-27.11841367,-1.663333333,-1.672221607,-4.105159475,-0.283241723
ANGUILLA,2001,2.345139988,220.3808181,25,1.414973348,162.3611557,-0.742666667,-0.746448155,17.33452158,1.196021685
ANGUILLA,2002,1.645938745,43.25259516,5,0.77815125,-18.5116217,-0.184666667,-0.18334137,-3.225797373,-0.222568797
ANGUILLA,2003,1.25599507,17.02997275,2,0.477121255,-48.47879863,0.884,0.890432083,-6.786116323,-0.468218419
ANGUILLA,2004,0,0,0,0,-69.25332591,0.33,0.341538868,-9.346435272,-0.644871519
ANGUILLA,2005,0,0,0,0,-72.99788044,0.599666667,0.616312321,-9.906754221,-0.683531577
ANGUILLA,2006,0,0,0,0,-76.74243497,-0.821333333,-0.799580894,-10.46707317,-0.722191636
ANGUILLA,2007,0,0,0,0,-80.4869895,0.672,0.698859224,-11.02739212,-0.760851694
