,,NINO1+2,NINO3,NINO4,NINO3.4,ONI,MEI,NINO1+2,NINO3,NINO4,NINO3.4,ONI,MEI
Bermuda,1,0.078766589,-0.120559081,-0.156985588,-0.144972452,-0.143653717,-0.116832048,0.495137326,0.441969208,0.459805029,0.435110785,0.435891653,0.437820249
Nepal,-1,-0.123113465,0.196482862,0.388529497,0.258297154,0.265075444,0.236173198,0.196254399,0.287194311,0.510643992,0.342723515,0.344218064,0.340471669
Bhutan,,-0.184028675,-0.125108931,-0.114789098,-0.110999151,-0.10810195,-0.129016917,-0.163189436,0.223495992,0.36339766,0.272062373,0.273303673,0.251250363
The Bahamas,,-0.17538686,-0.158296982,0.064602011,-0.134540301,-0.13053322,-0.195294964,0.775665984,0.70181331,0.341283348,0.608850893,0.605451681,0.653209302
Bangladesh,,0.177632902,0.268265694,0.259535898,0.288045258,0.291895985,0.280898791,0.40220104,0.441939184,0.434177248,0.439476291,0.43959948,0.462295309
Mexico,,-0.451563728,-0.386810339,-0.163585822,-0.333611828,-0.336819331,-0.416452228,-0.404489886,0.252871439,0.427695747,0.382376466,0.367484337,0.354541955
Cuba,,0.346999431,0.257793741,0.25006231,0.229808156,0.228596297,0.274476317,0.762864048,0.651442294,0.295135409,0.547301735,0.540884097,0.654232142
Turks and Caicos Islands,,0.422312258,0.461624898,0.443851904,0.462615698,0.461672752,0.464977771,0.568320421,0.426379386,0.251881986,0.311908111,0.311200214,0.348392493
Cayman Islands,,0.477171391,0.471597808,0.517574006,0.454433443,0.451956223,0.47205314,0.525501877,0.377134298,0.142936763,0.286197379,0.271867836,0.344886612
Dominican Republic,,0.585035484,0.749270388,0.766774324,0.798494354,0.797806469,0.768266335,0.411185545,0.482109024,0.425476103,0.514860633,0.520163167,0.505426565
British Virgin Islands,,0.509327657,0.704270277,0.750371127,0.752789151,0.750549758,0.685731176,0.285957196,-0.25430795,-0.172368653,-0.260596027,-0.258218388,-0.252899517
Anguilla,,0.474412632,0.689034624,0.734165433,0.736215444,0.734770169,0.677998017,0.256100313,-0.228523773,-0.155484678,-0.2339234,-0.228543611,0.25106293
Puerto Rico,,0.492703661,0.628481819,0.636806657,0.656611113,0.653070747,0.656430455,-0.37739602,-0.306533095,-0.101931493,-0.269807086,-0.269550234,0.332366275
