index,iso,country name1,country name2,dengueyear,case_it,population_it,tele_NINO34_max_temp_de_nor,tele_NINO34_max_prec_de_nor,NINOyear_lag0,NINO34_lag0,NINO34_de_lag0,NINO34_lag0*max_temp_de_tau,NINO34_lag0*max_prec_de_tau,NINO34_de_lag0_temp_de_tau,NINO34_de_lag0_prec_de_tau,NINOyear_lag1,NINO34_lag1,NINO34_de_lag1,NINO34_lag1*max_temp_de_tau,NINO34_lag1*max_prec_de_tau,NINO34_de_lag1_temp_de_tau,NINO34_de_lag1_prec_de_tau,NINOyear_lag2,NINO34_lag2,NINO34_de_lag2,NINO34_lag2*max_temp_de_tau,NINO34_lag2*max_prec_de_tau,NINO34_de_lag2_temp_de_tau,NINO34_de_lag2_prec_de_tau
ABW1980,ABW,Aruba,ARUBA,1980,1,62267,0.70058988,-0.607276057,1980,0.436,0.241300091,0.305457188,-0.264772361,0.169052402,-0.146535768,1979,-0.124333333,-0.304928174,-0.087106675,0.075504656,-0.213629593,0.185175579,1978,0.53,0.311488913,0.371312636,-0.32185631,0.21822598,-0.189159759
ABW1981,ABW,Aruba,ARUBA,1981,1,62614,0.70058988,-0.607276057,1981,-0.305333333,-0.458390992,-0.213913443,0.185421623,-0.32114409,0.278369874,1980,0.436,0.241300091,0.305457188,-0.264772361,0.169052402,-0.146535768,1979,-0.124333333,-0.304928174,-0.087106675,0.075504656,-0.213629593,0.185175579
ABW1982,ABW,Aruba,ARUBA,1982,1,63116,0.70058988,-0.607276057,1982,-0.065,-0.218457879,-0.045538342,0.039472944,-0.15304938,0.13266424,1981,-0.305333333,-0.458390992,-0.213913443,0.185421623,-0.32114409,0.278369874,1980,0.436,0.241300091,0.305457188,-0.264772361,0.169052402,-0.146535768
ABW1983,ABW,Aruba,ARUBA,1983,1,63683,0.70058988,-0.607276057,1983,2.162666667,1.923695758,1.515142381,-1.313335686,1.34772178,-1.168214375,1982,-0.065,-0.218457879,-0.045538342,0.039472944,-0.15304938,0.13266424,1981,-0.305333333,-0.458390992,-0.213913443,0.185421623,-0.32114409,0.278369874
ABW1984,ABW,Aruba,ARUBA,1984,1,64174,0.70058988,-0.607276057,1984,-0.617,-0.72703164,-0.432263956,0.374689327,-0.509351009,0.441508908,1983,2.162666667,1.923695758,1.515142381,-1.313335686,1.34772178,-1.168214375,1982,-0.065,-0.218457879,-0.045538342,0.039472944,-0.15304938,0.13266424
ABW1985,ABW,Aruba,ARUBA,1985,1,64478,0.70058988,-0.607276057,1985,-1.061666667,-1.14276159,-0.743792923,0.644724747,-0.800607205,0.693971753,1984,-0.617,-0.72703164,-0.432263956,0.374689327,-0.509351009,0.441508908,1983,2.162666667,1.923695758,1.515142381,-1.313335686,1.34772178,-1.168214375
ABW1986,ABW,Aruba,ARUBA,1986,1,64553,0.70058988,-0.607276057,1986,-0.574666667,-0.666725964,-0.402605651,0.348981308,-0.467101463,0.404886715,1985,-1.061666667,-1.14276159,-0.743792923,0.644724747,-0.800607205,0.693971753,1984,-0.617,-0.72703164,-0.432263956,0.374689327,-0.509351009,0.441508908
ABW1987,ABW,Aruba,ARUBA,1987,1,64450,0.70058988,-0.607276057,1987,1.135,0.979612394,0.795169514,-0.689258325,0.68630653,-0.594895152,1986,-0.574666667,-0.666725964,-0.402605651,0.348981308,-0.467101463,0.404886715,1985,-1.061666667,-1.14276159,-0.743792923,0.644724747,-0.800607205,0.693971753
ABW1988,ABW,Aruba,ARUBA,1988,1,64332,0.70058988,-0.607276057,1988,0.719,0.591321384,0.503724124,-0.436631485,0.414273778,-0.359095319,1987,1.135,0.979612394,0.795169514,-0.689258325,0.68630653,-0.594895152,1986,-0.574666667,-0.666725964,-0.402605651,0.348981308,-0.467101463,0.404886715
ABW1989,ABW,Aruba,ARUBA,1989,1,64596,0.70058988,-0.607276057,1989,-1.783666667,-1.794269272,-1.249618816,1.083178061,-1.257046894,1.089616768,1988,0.719,0.591321384,0.503724124,-0.436631485,0.414273778,-0.359095319,1987,1.135,0.979612394,0.795169514,-0.689258325,0.68630653,-0.594895152
ABW1990,ABW,Aruba,ARUBA,1990,1,65712,0.70058988,-0.607276057,1990,0.043333333,-0.035622691,0.030358895,-0.026315296,-0.024956897,0.021632807,1989,-1.783666667,-1.794269272,-1.249618816,1.083178061,-1.257046894,1.089616768,1988,0.719,0.591321384,0.503724124,-0.436631485,0.414273778,-0.359095319
ABW1991,ABW,Aruba,ARUBA,1991,1,67864,0.70058988,-0.607276057,1991,0.400333333,0.315980529,0.280469482,-0.243112848,0.221372761,-0.19188741,1990,0.043333333,-0.035622691,0.030358895,-0.026315296,-0.024956897,0.021632807,1989,-1.783666667,-1.794269272,-1.249618816,1.083178061,-1.257046894,1.089616768
ABW1992,ABW,Aruba,ARUBA,1992,1,70192,0.70058988,-0.607276057,1992,1.766,1.633051598,1.237241728,-1.072449517,1.144099423,-0.991713135,1991,0.400333333,0.315980529,0.280469482,-0.243112848,0.221372761,-0.19188741,1990,0.043333333,-0.035622691,0.030358895,-0.026315296,-0.024956897,0.021632807
ABW1993,ABW,Aruba,ARUBA,1993,1,72360,0.70058988,-0.607276057,1993,0.147333333,0.093601303,0.103220242,-0.089472006,0.065576126,-0.05684183,1992,1.766,1.633051598,1.237241728,-1.072449517,1.144099423,-0.991713135,1991,0.400333333,0.315980529,0.280469482,-0.243112848,0.221372761,-0.19188741
ABW1994,ABW,Aruba,ARUBA,1994,1,74710,0.70058988,-0.607276057,1994,0.117666667,0.07509788,0.082436076,-0.07145615,0.052612814,-0.045605144,1993,0.147333333,0.093601303,0.103220242,-0.089472006,0.065576126,-0.05684183,1992,1.766,1.633051598,1.237241728,-1.072449517,1.144099423,-0.991713135
ABW1995,ABW,Aruba,ARUBA,1995,37,77050,0.70058988,-0.607276057,1995,1.014,0.942936056,0.710398138,-0.615777922,0.660611458,-0.57262249,1994,0.117666667,0.07509788,0.082436076,-0.07145615,0.052612814,-0.045605144,1993,0.147333333,0.093601303,0.103220242,-0.089472006,0.065576126,-0.05684183
ABW1996,ABW,Aruba,ARUBA,1996,10,79417,0.70058988,-0.607276057,1996,-0.870333333,-0.850803027,-0.609746725,0.528532595,-0.596063991,0.516672308,1995,1.014,0.942936056,0.710398138,-0.615777922,0.660611458,-0.57262249,1994,0.117666667,0.07509788,0.082436076,-0.07145615,0.052612814,-0.045605144
ABW1997,ABW,Aruba,ARUBA,1997,1,81858,0.70058988,-0.607276057,1997,-0.501333333,-0.487713739,-0.35122906,0.30444773,-0.34168731,0.296176876,1996,-0.870333333,-0.850803027,-0.609746725,0.528532595,-0.596063991,0.516672308,1995,1.014,0.942936056,0.710398138,-0.615777922,0.660611458,-0.57262249
ABW1998,ABW,Aruba,ARUBA,1998,1,84355,0.70058988,-0.607276057,1998,2.241333333,2.147383661,1.570255451,-1.361108069,1.504435262,-1.304054683,1997,-0.501333333,-0.487713739,-0.35122906,0.30444773,-0.34168731,0.296176876,1996,-0.870333333,-0.850803027,-0.609746725,0.528532595,-0.596063991,0.516672308
ABW1999,ABW,Aruba,ARUBA,1999,130,86867,0.70058988,-0.607276057,1999,-1.547333333,-1.469130642,-1.084046074,0.939658485,-1.02925806,0.892167864,1998,2.241333333,2.147383661,1.570255451,-1.361108069,1.504435262,-1.304054683,1997,-0.501333333,-0.487713739,-0.35122906,0.30444773,-0.34168731,0.296176876
ABW2000,ABW,Aruba,ARUBA,2000,76,89101,0.70058988,-0.607276057,2000,-1.663333333,-1.570269946,-1.1653145,1.010102508,-1.100115233,0.953587341,1999,-1.547333333,-1.469130642,-1.084046074,0.939658485,-1.02925806,0.892167864,1998,2.241333333,2.147383661,1.570255451,-1.361108069,1.504435262,-1.304054683
ABW2001,ABW,Aruba,ARUBA,2001,0,90691,0.70058988,-0.607276057,2001,-0.742666667,-0.679140575,-0.520304751,0.451003685,-0.475799014,0.412425811,2000,-1.663333333,-1.570269946,-1.1653145,1.010102508,-1.100115233,0.953587341,1999,-1.547333333,-1.469130642,-1.084046074,0.939658485,-1.02925806,0.892167864
ABW2002,ABW,Aruba,ARUBA,2002,25,91781,0.70058988,-0.607276057,2002,-0.184666667,-0.135145712,-0.129375598,0.112143645,-0.094681718,0.082070755,2001,-0.742666667,-0.679140575,-0.520304751,0.451003685,-0.475799014,0.412425811,2000,-1.663333333,-1.570269946,-1.1653145,1.010102508,-1.100115233,0.953587341
ABW2003,ABW,Aruba,ARUBA,2003,1,92701,0.70058988,-0.607276057,2003,0.884,0.897645167,0.619321454,-0.536832034,0.62888112,-0.545118418,2002,-0.184666667,-0.135145712,-0.129375598,0.112143645,-0.094681718,0.082070755,2001,-0.742666667,-0.679140575,-0.520304751,0.451003685,-0.475799014,0.412425811
ABW2004,ABW,Aruba,ARUBA,2004,173,93540,0.70058988,-0.607276057,2004,0.33,0.377264372,0.23119466,-0.200401099,0.264307601,-0.229103621,2003,0.884,0.897645167,0.619321454,-0.536832034,0.62888112,-0.545118418,2002,-0.184666667,-0.135145712,-0.129375598,0.112143645,-0.094681718,0.082070755
ABW2005,ABW,Aruba,ARUBA,2005,0,94483,0.70058988,-0.607276057,2005,0.599666667,0.64527454,0.420120398,-0.364163209,0.452072813,-0.391859778,2004,0.33,0.377264372,0.23119466,-0.200401099,0.264307601,-0.229103621,2003,0.884,0.897645167,0.619321454,-0.536832034,0.62888112,-0.545118418
ABW2006,ABW,Aruba,ARUBA,2006,5,95606,0.70058988,-0.607276057,2006,-0.821333333,-0.704974686,-0.575417821,0.498776068,-0.49389813,0.428114247,2005,0.599666667,0.64527454,0.420120398,-0.364163209,0.452072813,-0.391859778,2004,0.33,0.377264372,0.23119466,-0.200401099,0.264307601,-0.229103621
ABW2007,ABW,Aruba,ARUBA,2007,0,96787,0.70058988,-0.607276057,2007,0.672,0.734295386,0.470796399,-0.40808951,0.514439917,-0.445920007,2006,-0.821333333,-0.704974686,-0.575417821,0.498776068,-0.49389813,0.428114247,2005,0.599666667,0.64527454,0.420120398,-0.364163209,0.452072813,-0.391859778
ABW2008,ABW,Aruba,ARUBA,2008,0,97996,0.70058988,-0.607276057,2008,-1.626666667,-1.456032109,-1.139626205,0.98783572,-1.020081361,0.884213438,2007,0.672,0.734295386,0.470796399,-0.40808951,0.514439917,-0.445920007,2006,-0.821333333,-0.704974686,-0.575417821,0.498776068,-0.49389813,0.428114247
ABW2009,ABW,Aruba,ARUBA,2009,845,99212,0.70058988,-0.607276057,2009,-0.831,-0.684549283,-0.58219019,0.504646403,-0.4795883,0.415710389,2008,-1.626666667,-1.456032109,-1.139626205,0.98783572,-1.020081361,0.884213438,2007,0.672,0.734295386,0.470796399,-0.40808951,0.514439917,-0.445920007
ABW2010,ABW,Aruba,ARUBA,2010,1415,100341,0.70058988,-0.607276057,2010,1.512666667,1.568636348,1.059758959,-0.918606249,1.098970751,-0.952595296,2009,-0.831,-0.684549283,-0.58219019,0.504646403,-0.4795883,0.415710389,2008,-1.626666667,-1.456032109,-1.139626205,0.98783572,-1.020081361,0.884213438
ABW2011,ABW,Aruba,ARUBA,2011,3027,101288,0.70058988,-0.607276057,2011,-1.398,-1.207480628,-0.979424652,0.848971928,-0.845948709,0.733274075,2010,1.512666667,1.568636348,1.059758959,-0.918606249,1.098970751,-0.952595296,2009,-0.831,-0.684549283,-0.58219019,0.504646403,-0.4795883,0.415710389
ABW2012,ABW,Aruba,ARUBA,2012,0,102112,0.70058988,-0.607276057,2012,-0.851,-0.674014661,-0.596201988,0.516791925,-0.47220785,0.409312966,2011,-1.398,-1.207480628,-0.979424652,0.848971928,-0.845948709,0.733274075,2010,1.512666667,1.568636348,1.059758959,-0.918606249,1.098970751,-0.952595296
ABW2013,ABW,Aruba,ARUBA,2013,528,102880,0.70058988,-0.607276057,2013,-0.421333333,-0.252856916,-0.295181869,0.255865645,-0.177148997,0.153553951,2012,-0.851,-0.674014661,-0.596201988,0.516791925,-0.47220785,0.409312966,2011,-1.398,-1.207480628,-0.979424652,0.848971928,-0.845948709,0.733274075
ABW2014,ABW,Aruba,ARUBA,2014,400,103594,0.70058988,-0.607276057,2014,-0.429666667,-0.250940663,-0.301020119,0.260926279,-0.175806489,0.152390256,2013,-0.421333333,-0.252856916,-0.295181869,0.255865645,-0.177148997,0.153553951,2012,-0.851,-0.674014661,-0.596201988,0.516791925,-0.47220785,0.409312966
ABW2015,ABW,Aruba,ARUBA,2015,335,104257,0.70058988,-0.607276057,2015,0.559666667,0.705914542,0.392096803,-0.339872167,0.494556585,-0.428685,2014,-0.429666667,-0.250940663,-0.301020119,0.260926279,-0.175806489,0.152390256,2013,-0.421333333,-0.252856916,-0.295181869,0.255865645,-0.177148997,0.153553951
