,boot,coef_lag0,coef_lag1,coef_lag2,sum
1,1,0.228302956,0.182087815,0.251122461,0.661513232
2,2,0.376089259,0.417680179,0.443746804,1.237516243
3,3,0.161547665,0.101945509,0.266137487,0.529630662
4,4,0.271696782,0.165221943,0.555122837,0.992041562
5,5,0.292142523,0.054002444,0.17896603,0.525110997
6,6,0.345820018,0.12158089,0.356691726,0.824092635
7,7,0.21876398,0.201452174,0.373257747,0.793473901
8,8,0.271182903,0.064949461,0.461975131,0.798107495
9,9,0.502739513,0.363307014,0.706506038,1.572552566
10,10,0.104129738,0.121361402,0.111687297,0.337178437
11,11,0.264676042,0.123742453,0.340665487,0.729083983
12,12,0.524253394,0.475907473,0.585924178,1.586085045
13,13,0.060940606,0.029891626,0.290002276,0.380834508
14,14,0.321980403,0.225715203,0.353011814,0.90070742
15,15,0.403977095,0.577574261,0.90877453,1.890325886
16,16,0.31843893,0.147507256,0.583078605,1.049024791
17,17,0.25174501,0.167236995,0.437682966,0.856664971
18,18,0.199460125,0.072941819,0.169737734,0.442139677
19,19,0.16048241,0.106200065,0.125438513,0.392120988
20,20,0.148881048,0.092587834,0.341642638,0.58311152
21,21,0.134454276,0.120485657,0.209498318,0.46443825
22,22,0.330684611,0.242845441,0.431862245,1.005392296
23,23,0.180597489,0.039834037,0.393376115,0.61380764
24,24,0.21973209,0.147199111,0.460680851,0.827612052
25,25,0.312848748,0.229635374,0.45688749,0.999371612
26,26,0.198147556,0.110785127,0.321115545,0.630048228
27,27,0.313607061,0.360269855,0.504948593,1.178825508
28,28,0.293115789,0.320516342,0.494764394,1.108396525
29,29,0.271339176,0.280714768,0.457930042,1.009983986
30,30,0.428096377,0.377976655,0.643320863,1.449393895
31,31,0.133671862,0.173023247,0.257801862,0.564496972
32,32,0.336487952,0.290306186,0.360509664,0.987303802
33,33,0.050786438,-0.004233551,0.263199872,0.309752759
34,34,0.319132294,0.137678463,0.383407489,0.840218246
35,35,0.284688496,0.238312559,0.340703056,0.863704111
36,36,0.206301238,0.26880128,0.345036909,0.820139427
37,37,0.207486497,0.147668606,0.355288099,0.710443202
38,38,0.177451868,0.063881725,0.391553209,0.632886802
39,39,0.30881493,0.224494529,0.347627145,0.880936603
40,40,0.168951957,0.199582325,0.292985166,0.661519448
41,41,0.204724997,0.190590951,0.371864068,0.767180015
42,42,0.267312658,0.191467476,0.616538878,1.075319012
43,43,0.137045487,0.137179623,0.271793576,0.546018686
44,44,0.256707995,0.313850649,0.332522399,0.903081042
45,45,0.325764449,0.42427467,0.429908432,1.179947551
46,46,0.195576315,0.141531815,0.230419024,0.567527154
47,47,0.29405956,0.265134251,0.433945128,0.993138939
48,48,0.0205006,-0.015849145,0.13656584,0.141217295
49,49,0.228949608,0.271454976,0.396637508,0.897042092
50,50,0.331878026,0.141880508,0.393744163,0.867502697
51,51,0.457322237,0.396375644,0.562683375,1.416381256
52,52,0.063648834,0.056827989,0.15479963,0.275276453
53,53,-0.270951997,-0.266581307,-0.175163304,-0.712696608
54,54,0.151465145,0.294933642,0.340607167,0.787005955
55,55,0.1468945,0.167816461,0.35964435,0.674355311
56,56,0.174238914,0.228987259,0.357689146,0.760915319
57,57,0.457521988,0.433608992,0.537333346,1.428464326
58,58,0.069068805,0.196597985,0.319105323,0.584772113
59,59,0.423582977,0.240200449,0.676081206,1.339864632
60,60,0.049053127,-0.077063633,0.08560425,0.057593743
61,61,0.33006736,0.33356603,0.358536002,1.022169393
62,62,0.366103324,0.220646477,0.317942437,0.904692238
63,63,0.267649129,0.181727371,0.396182374,0.845558874
64,64,0.183585009,0.09723579,0.082426505,0.363247304
65,65,0.301381113,0.222185152,0.329792814,0.853359079
66,66,0.098630323,0.030754508,0.229004812,0.358389644
67,67,0.277266156,0.140453479,0.509224711,0.926944346
68,68,0.267202597,0.326742419,0.447033717,1.040978733
69,69,0.278181451,0.215425421,0.389899364,0.883506235
70,70,0.253222248,0.25959944,0.402791987,0.915613675
71,71,0.127182985,0.062461011,0.224224891,0.413868888
72,72,0.278503913,0.232912588,0.465446091,0.976862592
73,73,0.505453015,0.42605358,0.583741094,1.515247688
74,74,0.212631852,0.109224434,0.256260412,0.578116698
75,75,0.209252231,0.232403217,0.436054368,0.877709816
76,76,0.071634614,0.167813222,0.332046148,0.571493983
77,77,0.321712593,0.177130294,0.368852694,0.867695581
78,78,0.242793891,0.05075107,0.596016555,0.889561516
79,79,0.496039783,0.337402649,0.55808776,1.391530192
80,80,0.230646888,0.215860196,0.398146544,0.844653628
81,81,0.370716253,0.250728318,0.522347305,1.143791875
82,82,0.136151793,0.073452703,0.287023964,0.49662846
83,83,0.042811715,0.1956507,0.166938812,0.405401228
84,84,0.43400857,0.325276183,0.618399035,1.377683787
85,85,0.133923973,0.048531771,0.246698127,0.429153872
86,86,0.347045981,0.222190356,0.596227554,1.165463891
87,87,0.290726519,0.157120996,0.385137693,0.832985208
88,88,0.461985655,0.33338651,0.566681052,1.362053216
89,89,0.315542671,0.421715524,0.507956556,1.245214751
90,90,0.219216056,0.169281272,0.203403448,0.591900775
91,91,0.168195384,0.269927233,0.42263617,0.860758787
92,92,0.135893456,0.085204043,0.217657496,0.438754995
93,93,0.166944805,0.235818218,0.391641992,0.794405016
94,94,0.509991644,0.627959816,0.870289477,2.008240937
95,95,0.18632178,0.12247714,0.411697617,0.720496536
96,96,0.48817146,0.324765017,0.551441358,1.364377834
97,97,0.037505466,0.030230925,0.099373367,0.167109758
98,98,-0.053798726,-0.059282898,-0.017788824,-0.130870448
99,99,0.321695286,0.217143959,0.499494698,1.038333943
100,100,0.358705774,0.215735873,0.341932182,0.916373828
101,101,0.192887428,0.240841726,0.292844448,0.726573603
102,102,0.100438046,0.144584975,0.249985281,0.495008301
103,103,0.315891404,0.199490623,0.245914738,0.761296765
104,104,0.218937013,0.238060714,0.432355414,0.88935314
105,105,0.162989794,0.026163564,0.293326235,0.482479593
106,106,0.396992655,0.4392075,0.511180291,1.347380446
107,107,0.270838406,0.251065846,0.37975796,0.901662212
108,108,0.053234296,0.032287797,0.211406829,0.296928923
109,109,0.279646605,0.085804763,0.380942332,0.746393701
110,110,0.011283695,0.100955443,0.13006095,0.242300089
111,111,0.185169075,0.140186265,0.338572491,0.663927831
112,112,0.066061012,0.193899689,0.284247066,0.544207767
113,113,0.114413003,0.096511528,0.09225173,0.303176261
114,114,0.354903247,0.204208063,0.345804809,0.904916119
115,115,0.220784873,0.247225024,0.223115842,0.691125739
116,116,0.268696766,0.213881286,0.320810711,0.803388763
117,117,0.225686694,0.033097548,0.408099707,0.666883949
118,118,0.256627448,0.304020239,0.368725392,0.929373078
119,119,0.449931753,0.368604483,0.728239167,1.546775403
120,120,0.374065747,0.255560901,0.428683859,1.058310506
121,121,0.535982804,0.37983075,0.442536714,1.358350268
122,122,0.267524187,0.176655389,0.398112396,0.842291973
123,123,0.161419216,0.177827946,0.24807602,0.587323182
124,124,0.250665279,0.227239606,0.428047944,0.905952829
125,125,0.119020098,0.216820337,0.311299757,0.647140192
126,126,0.480731902,0.383325423,0.458988061,1.323045386
127,127,0.211914955,0.110697363,0.374977319,0.697589637
128,128,0.193724474,0.210258885,0.272417994,0.676401352
129,129,0.305770003,0.317445572,0.303010378,0.926225953
130,130,-0.034006627,-0.096584404,0.086224748,-0.044366283
131,131,0.364056934,0.283069411,0.365017039,1.012143384
132,132,0.279874546,0.237531421,0.505689511,1.023095478
133,133,0.325635748,0.397083022,0.493447833,1.216166603
134,134,0.503239628,0.33414513,0.571141382,1.40852614
135,135,0.537460286,0.333503904,0.549849766,1.420813956
136,136,0.329481274,0.229426179,0.423396391,0.982303844
137,137,0.119335491,0.279787693,0.281743552,0.680866736
138,138,0.080766895,0.109305526,0.185187182,0.375259604
139,139,0.073286475,0.088422456,0.228922251,0.390631183
140,140,0.179320685,0.164976151,0.284421266,0.628718101
141,141,0.326451393,0.18292044,0.363452207,0.872824041
142,142,0.12832951,0.282107006,0.415031591,0.825468107
143,143,0.170039957,0.107710558,0.404954487,0.682705003
144,144,0.106347807,0.049773828,0.162111607,0.318233242
145,145,0.173865509,0.211117069,0.408172786,0.793155364
146,146,0.16880894,0.051253071,0.212888453,0.432950464
147,147,0.375675445,0.398229464,0.442319246,1.216224155
148,148,0.297498179,0.158382489,0.328785875,0.784666543
149,149,0.095359923,0.107882805,0.101192426,0.304435154
150,150,0.1473047,-0.012542908,0.401350964,0.536112756
151,151,0.119756609,0.135099823,0.231404967,0.4862614
152,152,0.123293817,0.156651894,0.325480042,0.605425754
153,153,0.334487672,0.327310742,0.489740895,1.151539308
154,154,0.567340238,0.359040771,0.71490925,1.641290259
155,155,0.079650963,0.007263636,0.24952705,0.336441649
156,156,0.297882431,0.142648283,0.313826012,0.754356726
157,157,0.180467762,0.025782505,0.243482362,0.449732629
158,158,0.262587978,0.174162679,0.583135385,1.019886042
159,159,0.229272694,0.174007173,0.242037696,0.645317563
160,160,0.369458324,0.145978112,0.418786702,0.934223137
161,161,0.253127211,0.287608014,0.439665173,0.980400398
162,162,0.217101983,0.221889519,0.365699353,0.804690855
163,163,0.247750574,0.216028767,0.462821861,0.926601202
164,164,0.386374412,0.24006686,0.393228731,1.019670002
165,165,0.379185271,0.085386185,0.421052308,0.885623764
166,166,0.243029401,0.179722425,0.363595876,0.786347702
167,167,0.080729356,0.132924294,0.191024274,0.404677924
168,168,0.172821617,0.150363662,0.484630278,0.807815557
169,169,0.40077421,0.256547603,0.62661384,1.283935653
170,170,0.08860715,0.0344384,0.212167138,0.335212687
171,171,0.453766616,0.450305879,0.798602915,1.702675411
172,172,0.352156743,0.409557004,0.322499525,1.084213272
173,173,-0.044935784,0.171414106,0.233528678,0.360007
174,174,0.021969236,-0.054474092,0.190366061,0.157861205
175,175,0.390807996,0.270831819,0.573111649,1.234751464
176,176,0.216426003,0.163595672,0.209060833,0.589082508
177,177,0.282833269,0.153351054,0.478698946,0.914883268
178,178,0.202914794,0.152899891,0.368389151,0.724203836
179,179,0.439427704,0.408283621,0.559110836,1.406822162
180,180,0.193811152,0.210472607,0.279144672,0.683428431
181,181,0.373135869,0.364673305,0.512431864,1.250241038
182,182,0.218547607,0.211425745,0.334690536,0.764663888
183,183,0.227369846,0.156527488,0.341179488,0.725076822
184,184,0.139199052,0.371144239,0.445620926,0.955964217
185,185,0.346139927,0.317459483,0.649341111,1.312940521
186,186,0.204800941,0.26520551,0.413691776,0.883698227
187,187,0.172882469,0.178821189,0.366929569,0.718633227
188,188,0.537007429,0.313732271,0.722704943,1.573444643
189,189,0.129180189,0.218977523,0.433096999,0.781254711
190,190,0.307896743,0.199112961,0.466819738,0.973829442
191,191,0.066380446,0.008977225,0.300467864,0.375825534
192,192,0.040890894,-0.052470331,0.224078335,0.212498899
193,193,0.059321311,0.057319633,0.256130501,0.372771445
194,194,0.259030819,0.238461541,0.283805216,0.781297576
195,195,0.090404663,0.057451933,0.437778193,0.585634789
196,196,0.322779494,0.361544108,0.53958151,1.223905112
197,197,0.34062991,0.475451606,0.610607818,1.426689335
198,198,0.286004718,0.400099981,0.450760342,1.13686504
199,199,0.100237828,0.18558579,0.209489282,0.4953129
200,200,0.062750441,0.085347012,0.154895344,0.302992797
201,201,0.155474185,0.288185195,0.272492555,0.716151935
202,202,0.22791452,0.107413494,0.36770405,0.703032065
203,203,0.258721592,0.332159768,0.351779709,0.942661069
204,204,0.231834922,0.248829101,0.427061378,0.907725401
205,205,0.158699305,0.14801715,0.297392285,0.60410874
206,206,0.284558232,0.150612417,0.477659519,0.912830168
207,207,0.223266155,0.226864472,0.402090791,0.852221419
208,208,0.271849149,0.128906313,0.477986323,0.878741786
209,209,0.230150149,0.064628394,0.372283187,0.66706173
210,210,0.263491722,0.289649232,0.464806738,1.017947693
211,211,0.146188839,0.115737445,0.364002362,0.625928645
212,212,0.196485049,0.25854653,0.337302128,0.792333707
213,213,0.101319185,0.223810725,0.327010178,0.652140088
214,214,0.260895467,0.246577122,0.549165444,1.056638033
215,215,0.343686606,0.351612675,0.390329766,1.085629047
216,216,0.115889281,0.108353632,0.290321194,0.514564107
217,217,0.233694912,0.432075578,0.500059906,1.165830396
218,218,-0.015944198,-0.054374158,0.206422312,0.136103957
219,219,0.325416862,0.323717123,0.389693987,1.038827973
220,220,0.198610703,0.095981314,0.138001158,0.432593176
221,221,0.142456801,0.013486779,0.271664888,0.427608469
222,222,0.178525395,0.148825687,0.301252792,0.628603873
223,223,0.270918909,0.265045284,0.302366258,0.83833045
224,224,0.35281417,0.25559452,0.637452955,1.245861645
225,225,0.133233298,0.000271393,0.222576986,0.356081677
226,226,0.24829168,0.158313276,0.314801116,0.721406072
227,227,0.41507057,0.247028674,0.337614557,0.999713801
228,228,0.202212826,0.120278571,0.499509036,0.822000433
229,229,0.376721547,0.304125127,0.375455538,1.056302212
230,230,0.222506032,0.098564497,0.336969148,0.658039676
231,231,0.000948209,0.02021424,0.15493859,0.176101038
232,232,0.247410851,0.276781708,0.323722824,0.847915384
233,233,0.192878332,0.14639596,0.372225218,0.711499509
234,234,0.270930984,0.268854392,0.480710466,1.020495843
235,235,0.311572155,0.180716787,0.403950467,0.896239409
236,236,0.488144405,0.470505686,0.734369945,1.693020037
237,237,0.25943522,0.198431001,0.283877414,0.741743635
238,238,0.249566136,0.178967031,0.332615366,0.761148532
239,239,0.149538754,0.121979354,0.281393745,0.552911853
240,240,0.151862067,0.189225246,0.284734591,0.625821904
241,241,0.217797462,0.117133652,0.275084704,0.610015818
242,242,0.076324901,0.015220006,0.093728919,0.185273826
243,243,0.209543354,0.240115731,0.339471845,0.789130931
244,244,0.135366219,0.180401968,0.228996348,0.544764535
245,245,0.068117561,-0.027746642,0.236177721,0.27654864
246,246,0.513999865,0.455691802,0.603525765,1.573217433
247,247,0.110455874,0.077149437,0.46422988,0.651835191
248,248,0.013484502,-0.012098515,0.239958193,0.24134418
249,249,0.300660814,0.277645315,0.399398139,0.977704268
250,250,0.387449424,0.327591425,0.529240037,1.244280887
251,251,0.185065352,0.414066241,0.484002331,1.083133924
252,252,0.394795293,0.235501138,0.652740435,1.283036867
253,253,0.323991603,0.412758127,0.45622228,1.19297201
254,254,0.07993614,0.144007802,0.283561959,0.507505901
255,255,0.138549123,0.095537502,0.281378541,0.515465166
256,256,0.302273318,0.199048572,0.31431821,0.8156401
257,257,0.367527895,0.308157544,0.366620908,1.042306347
258,258,0.314422883,0.141877763,0.38665543,0.842956076
259,259,0.327683835,0.295473618,0.544369829,1.167527282
260,260,0.768645269,0.732973737,0.950136383,2.45175539
261,261,0.156692787,0.105877123,0.217336848,0.479906758
262,262,0.289427434,0.07857888,0.392023172,0.760029486
263,263,0.228951546,0.122857962,0.318932717,0.670742226
264,264,0.120859747,0.077316216,0.314287507,0.51246347
265,265,0.454420563,0.191270978,0.533704268,1.179395808
266,266,0.263750052,0.257077648,0.32489184,0.84571954
267,267,0.246169296,0.178423371,0.391199833,0.8157925
268,268,0.293717866,0.054168889,0.362934593,0.710821348
269,269,0.339849616,0.178302851,0.407026873,0.925179339
270,270,0.344700028,0.179797324,0.545014357,1.069511709
