,boot,coef_lag0,coef_lag1,coef_lag2,sum
1,1,0.918487982,0.842973757,0.703486639,2.464948378
2,2,0.734683028,0.730775011,0.829793613,2.295251651
3,3,1.257331441,1.041501812,1.167168039,3.466001292
4,4,1.136273129,0.896533918,1.219131683,3.25193873
5,5,1.003869976,0.835577547,0.950228479,2.789676002
6,6,1.638199101,1.433752735,1.359291042,4.431242878
7,7,1.30471778,1.236233115,1.276902634,3.81785353
8,8,1.006008092,0.697231948,0.899186872,2.602426913
9,9,2.485083514,2.523010424,2.59819031,7.606284248
10,10,0.540524212,0.40466549,0.506398126,1.451587828
11,11,0.480546725,0.253964634,0.485371558,1.219882917
12,12,1.215606191,1.053367858,1.095494951,3.364469
13,13,0.807883358,0.831104195,0.929361883,2.568349437
14,14,0.900838245,1.001777661,1.242374709,3.144990615
15,15,0.986717455,0.910261774,1.134454741,3.03143397
16,16,1.117246671,1.078950872,1.121674021,3.317871565
17,17,0.928618999,0.70583477,0.846047531,2.4805013
18,18,1.205355127,1.233981702,1.076013543,3.515350372
19,19,0.871117835,0.815630225,0.652585587,2.339333647
20,20,1.036021887,0.802408517,1.12799189,2.966422294
21,21,0.563620031,0.381956127,0.606366652,1.551942811
22,22,0.69390131,0.659603334,0.824016164,2.177520807
23,23,0.984921976,0.97559464,0.938481323,2.898997939
24,24,0.968516153,0.887149377,1.04688106,2.90254659
25,25,0.495778483,0.517385915,0.694037909,1.707202308
26,26,0.495251804,0.509951258,0.56827423,1.573477292
27,27,1.030465875,0.834979454,1.089110925,2.954556254
28,28,0.832735166,0.985970398,0.98821663,2.806922194
29,29,1.131132179,1.08687689,1.548560836,3.766569905
30,30,1.686786753,1.717546302,1.716410798,5.120743853
31,31,0.468393408,0.49035758,0.468072716,1.426823703
32,32,1.545334651,0.976336074,1.342646647,3.864317372
33,33,0.603502346,0.541801532,0.526593101,1.671896979
34,34,0.882567058,0.718530589,0.921436259,2.522533906
35,35,1.31040092,1.065016433,1.294711287,3.67012864
36,36,1.020778865,0.924673491,1.114253494,3.05970585
37,37,0.828277942,0.77063723,0.947545602,2.546460774
38,38,1.481801383,1.507058239,1.478585883,4.467445505
39,39,1.80447702,1.746150046,1.667849623,5.218476689
40,40,0.657628245,0.611336614,0.753398403,2.022363262
41,41,0.718639836,0.574656325,0.767763412,2.061059572
42,42,1.220382035,1.011979048,1.318329325,3.550690409
43,43,0.979584557,0.912088538,0.845172015,2.736845111
44,44,0.626880346,0.598465633,0.613111137,1.838457115
45,45,0.931141427,0.798301289,0.736838377,2.466281093
46,46,0.740897311,0.818809514,0.874628612,2.434335437
47,47,1.339688068,1.007100431,1.298704277,3.645492776
48,48,1.36645302,1.519662737,1.509451836,4.395567593
49,49,0.432569721,0.455724068,0.58860732,1.476901109
50,50,0.923182066,0.785951764,0.958193883,2.667327713
51,51,1.478932122,1.334116162,1.531682104,4.344730388
52,52,0.667858326,0.658243419,0.445546694,1.771648439
53,53,1.927782772,2.021293206,1.943369046,5.892445024
54,54,1.089039533,0.865289221,0.924760888,2.879089642
55,55,0.973337283,0.731884605,0.840189345,2.545411234
56,56,0.70966056,0.522288324,0.737739908,1.969688792
57,57,0.579716104,0.510314386,0.612133568,1.702164058
58,58,0.762812874,0.644186609,0.769637956,2.176637439
59,59,1.029205249,0.743746575,1.10926512,2.882216944
60,60,0.864981162,0.864622971,0.896236943,2.625841076
61,61,1.245787597,0.929210432,1.179269133,3.354267163
62,62,0.810860813,0.576129604,0.792117131,2.179107548
63,63,0.710839244,0.526521527,0.73826053,1.975621302
64,64,0.251228261,0.271412774,0.184388862,0.707029897
65,65,0.971228914,0.688024172,1.013554647,2.672807733
66,66,0.898209896,0.777697694,1.141880997,2.817788588
67,67,0.908391679,0.934575337,0.886831104,2.72979812
68,68,0.759195287,0.624296729,0.603336157,1.986828174
69,69,0.917296446,0.74323062,0.912338476,2.572865543
70,70,1.259677134,1.062279893,1.192071924,3.514028951
71,71,0.881686083,0.74148068,0.759914822,2.383081586
72,72,0.439749153,0.274108509,0.734292809,1.448150471
73,73,1.009748525,0.96954182,1.12092294,3.100213285
74,74,1.063263781,0.878099264,1.138109555,3.0794726
75,75,1.132086072,0.778697486,1.107839033,3.018622591
76,76,0.65327164,0.823710684,0.892868924,2.369851247
77,77,2.009046569,1.783273081,2.042591044,5.834910695
78,78,0.878360079,0.82305023,1.028394784,2.729805092
79,79,1.072553392,0.961938727,1.175160112,3.209652232
80,80,0.84869027,0.645393928,0.92317168,2.417255878
81,81,0.596444,0.650411589,0.752851833,1.999707422
82,82,0.839213471,0.673664177,0.672973427,2.185851075
83,83,0.576114517,0.501617718,0.54567469,1.623406925
84,84,1.352684194,1.224356377,1.571040033,4.148080605
85,85,1.660150217,1.614275156,1.700900667,4.97532604
86,86,0.936015792,0.919269946,1.086305824,2.941591562
87,87,0.989360819,0.741279692,0.865176401,2.595816913
88,88,0.876103522,0.746724075,1.135269648,2.758097245
89,89,1.189998342,0.983521214,1.033787899,3.207307454
90,90,0.439301744,0.364065649,0.344151197,1.14751859
91,91,0.984069414,0.980688978,1.003470908,2.968229301
92,92,0.78777796,0.691680748,0.687326514,2.166785222
93,93,0.680100846,0.503559642,0.774092135,1.957752623
94,94,1.198226928,0.882469089,1.166958127,3.247654143
95,95,0.7932896,0.661658175,0.99219862,2.447146394
96,96,1.294150301,1.09930001,1.267446692,3.660897003
97,97,0.818529381,0.645206543,0.809197904,2.272933829
98,98,1.355525757,1.368094962,1.459611979,4.183232698
99,99,1.027280751,0.986882545,1.228064288,3.242227585
100,100,2.191842056,1.847218005,2.011707475,6.050767537
101,101,0.982086078,0.84316328,1.117596025,2.942845382
102,102,0.740288627,0.573008744,0.540423631,1.853721002
103,103,0.470440606,0.405925272,0.45450394,1.330869818
104,104,0.742199173,0.678971243,0.843353079,2.264523495
105,105,1.273380257,0.963293694,0.914535581,3.151209531
106,106,0.671506384,0.59904044,0.636135126,1.90668195
107,107,0.765223772,0.756452234,0.661159339,2.182835345
108,108,0.667071874,0.707399949,0.75663331,2.131105133
109,109,0.998605587,0.747341051,1.034926144,2.780872782
110,110,1.260581993,1.046173382,1.15998357,3.466738945
111,111,1.013918141,0.908943095,1.081941225,3.004802461
112,112,1.017212087,0.704604491,0.853574891,2.57539147
113,113,0.633504128,0.625946379,0.647990706,1.907441213
114,114,1.108640343,0.95136113,1.061177694,3.121179167
115,115,0.696289511,0.67061258,0.533593031,1.900495122
116,116,0.812082002,0.560499169,0.591316936,1.963898107
117,117,0.819052896,0.763289154,0.91223401,2.49457606
118,118,0.888762436,0.887495042,1.031957591,2.808215069
119,119,1.229805196,1.023554031,1.283940974,3.5373002
120,120,1.205904659,1.044309771,1.194261038,3.444475468
121,121,1.73213453,1.520999848,1.79966206,5.052796438
122,122,0.811773793,0.595690083,0.879056479,2.286520355
123,123,1.238826121,1.050258821,1.307599762,3.596684704
124,124,1.104522663,0.980521517,1.280182129,3.365226309
125,125,0.922498469,0.736005102,1.152039669,2.810543241
126,126,1.142730923,0.851286777,1.009824059,3.003841759
127,127,1.150877898,1.019425589,1.133519399,3.303822886
128,128,0.859153336,0.708201167,0.760481719,2.327836222
129,129,0.769563236,0.740898759,0.801452125,2.31191412
130,130,1.377657958,1.440927558,1.323658826,4.142244341
131,131,0.8751589,0.966892345,0.946407712,2.788458958
132,132,0.933384516,0.636695413,0.912452234,2.482532163
133,133,0.553837671,0.434515564,0.552779614,1.541132848
134,134,1.286404442,0.976834479,1.200801721,3.464040643
135,135,1.048493461,0.815117603,1.08276261,2.946373674
136,136,1.53341357,1.566012342,1.655838629,4.755264542
137,137,0.808954286,0.811942664,0.914610714,2.535507664
138,138,1.034097269,1.091624032,1.147040906,3.272762207
139,139,1.444707305,1.320750335,1.628585942,4.394043582
140,140,0.861200882,0.867462488,0.870632252,2.599295623
141,141,0.672721014,0.495397555,0.726302757,1.894421326
142,142,0.857777236,0.693609284,0.837369099,2.388755618
143,143,1.018108531,0.984626505,0.970484245,2.973219281
144,144,0.492980486,0.385981684,0.569302292,1.448264462
145,145,1.680202928,1.461090094,1.600482549,4.741775571
146,146,0.502463552,0.558921253,0.571265599,1.632650404
147,147,2.197477709,2.320420625,1.995337401,6.513235736
