Country,Mean_Change_rate%_ssp126_tas,Mean_Change_rate%_ssp126_pr,Mean_Change_rate%_ssp245_tas,Mean_Change_rate%_ssp245_pr,Mean_Change_rate%_ssp370_tas,Mean_Change_rate%_ssp370_pr,Mean_Change_rate%_ssp585_tas,Mean_Change_rate%_ssp585_pr
Indonesia,36.17703883407903,12.528938931223433,39.87148964583013,15.815581105954356,50.070227947904634,23.05588199938671,72.66449583925804,16.727892702282105
Malaysia,89.84589879783309,17.111333360246896,29.532496049772217,17.168236586697006,93.97362928862299,27.222467307397288,96.95967198203795,34.99272147345852
Bolivia,45.76198600937898,30.054452239346528,51.30262891542628,41.49020073028515,78.95175947741836,38.63102257336364,95.4284127636557,43.24323955722774
Peru,49.45879649547244,12.18991223147495,53.51695980454564,26.169571522740224,70.0933488678291,38.951414174679144,198.95615657999267,31.767736460110044
Suriname,64.07334635750973,31.24262657453453,40.47443371755882,41.41882952142687,30.77481530783766,35.08575378163048,60.327525625712425,55.3789525984722
Guyana,32.112429568090356,24.096851820773402,28.34457188964592,44.08870322678594,34.58284067368007,33.858049240459025,52.8326987879239,51.85188691248824
Costa Rica,42.39102229089475,12.196789667606161,21.14471053829291,16.888953316171218,22.267735280004484,19.942112452724587,63.29955753252609,27.199148375614524
Nicaragua,28.39481212026571,4.92815165413998,28.00947317686482,12.765787890298647,25.765235808725755,40.99057510993511,40.17640235232445,32.06698050304404
Bhutan,36.80454249039852,30.265309277920345,26.697707557389958,34.60441933562121,30.17377473755515,28.000723005456784,28.8980562053599,47.106722923896356
Saint Martin,44.81809366580428,45.33873670141272,31.09727841411925,16.971140686905564,40.23211297343265,32.09586508393026,79.58826331261592,55.64095591432693
Brazil,34.31076659755823,12.10489019512406,23.584164633755105,42.45760761891775,21.6204648132628,35.36768331364589,29.966217689207657,16.995245276968774
Uruguay,60.180701140844164,16.74730261222306,52.54851196652778,16.208766129510753,49.1270826698016,13.768796673504301,51.986007830764066,5.15530890018718
Vietnam,24.372651466008733,27.122210142414634,28.481082316913387,49.344745173559275,32.82548702552306,55.31502634687098,67.45643310900896,33.6250629852399
Cambodia,25.88488999874583,4.883667729353949,21.434185826104905,31.949615406505263,24.06655255946451,28.485349293799626,61.4743143375217,19.4032662576837
Laos,28.71320355377629,9.59477920106895,29.691761058798313,20.107142009688566,35.201603634684595,26.811916077023938,64.77825233091225,8.798868128609163
Thailand,20.128098431052212,26.440424465945807,26.314657970817944,40.96301906245137,28.77831251265551,49.37930639590531,51.33794562851932,39.312432825031024
Dominican Republic,41.66556245830311,26.808560773964793,43.68941980117946,31.63692633982385,35.15802725234289,24.911810023991777,67.36359060051765,47.69583567841073
El Salvador,29.568036345384776,18.484087941266665,33.514282334154174,22.070662447429857,22.569512813660715,42.41006050327927,47.27502206448654,35.69980276912435
Guatemala,19.299210313431388,26.20665310671262,23.465543837366322,28.606938023400314,19.74753087330274,34.470410802035126,40.95773541506477,49.919801711531534
Bangladesh,36.044141484085564,14.385536780500745,46.6835109636452,5.946306930006923,42.83645142004669,8.422921361988998,95.3242776023171,28.30241951401841
Cuba,29.805624080234992,35.83918958981241,18.03697702534529,37.07692191408197,27.009791412741073,23.028903765468552,30.049495358902988,42.482078386639756
Honduras,24.89323288318681,12.100569275387915,35.655509403332864,14.8209816684647,37.561587540316836,41.2275106689745,45.26219385961107,38.550763450073326
Ecuador,29.373281031723362,18.50315728750408,30.93914021495631,38.03385646424478,42.89306523832412,42.601769343295,78.7836412336265,23.450057992655502
Colombia,28.053242250106283,28.885752239826495,26.470333000088647,43.67244287559477,22.46634301935551,72.88925459232665,46.88417482744654,61.355523160800004
Paraguay,40.874528729564965,28.313106836550485,25.553193085658023,33.74725018520294,27.161411733448848,51.96833929604044,43.66961381075161,39.462439440988334
Nepal,24.81950554634841,38.067206977282304,37.08169571029183,42.35029932628379,48.76370127921787,42.44537658717061,69.11796932434103,52.64651793606064
Mexico,19.299416611743727,9.716795569714813,47.38315118135042,16.431656810505892,30.985562034570396,18.56047242568648,14.881674063081245,30.24052800491223
Belize,30.059493847755874,32.41419644479854,48.30108755529616,42.45665790160552,48.01384686431646,28.80094985696953,66.3207244436432,35.7416862202515
Panama,29.944617975862794,16.83311177704683,17.184813169826803,32.42569554394182,16.890557460343683,43.510076058773286,38.8617984863956,42.138094443103206
Venezuela,38.520968354128385,24.25383543109162,24.966472016529615,23.031169992902566,28.257809034392366,22.196031588309587,53.3431711528354,28.662796506652157
New Caledonia,37.27151747507472,19.10866738391122,45.86882074695186,7.792244354548415,49.17849976327376,17.623596665363213,57.57212778233922,70.45735931206464
Philippines,16.010140676448774,17.64855033636299,10.487500076522279,20.471688955996765,19.470714184165725,19.16533803060976,46.549468866752036,37.029702227978305
Aruba,44.33853423248186,37.01328752628797,30.295451457473593,39.724055053760274,39.39844347642707,30.29402548281208,67.88992910393893,53.88032474039336
The Bahamas,22.1001041418266,10.897466626111157,44.95063015750499,44.72893892942437,55.59591243053388,44.90266777167506,55.66380249053664,28.314789483652838
Turks and Caicos Islands,37.08808188789963,26.971623266273966,51.738440891339216,42.355725658311144,34.81887061210605,31.150097535698997,68.85915757622368,53.76247403796718
Trinidad and Tobago,34.90521156439901,34.42807378142334,30.013550039762723,20.63142745154574,38.728135749290814,32.10127931482924,60.52583949830701,36.9498074143743
Grenada,32.727668510952434,17.423883296432113,37.480908831433034,16.583279922226627,42.44079319538222,19.992614283674477,76.01284488605914,31.901153228491367
Saint Vincent and the Grenadines,45.3946556402265,20.60299476914845,39.16956833562882,14.171193529314552,44.03647944740266,29.224676000366888,80.02999913926563,41.837730199540786
Barbados,53.5951320243869,37.35111179196907,33.844631287611136,24.183684632587596,38.457780103445685,48.3426824089434,64.8333328374313,35.95115404216707
Saint Lucia,38.198230791269886,27.567176524153925,34.6948118705802,17.79419417603388,41.78944814802505,34.917954897912075,77.42891849638534,40.959674504061155
Dominica,34.77597236525053,20.79582775412666,30.33998959607389,14.17041903302703,33.45498724560778,33.447083743406985,62.17055840466196,46.01483187830234
Montserrat,38.716699790856865,19.662227618267167,27.65666672280129,16.177974075893463,33.13695080775693,33.25924419300161,97.46830757722974,57.89371605242378
Antigua and Barbuda,41.77271412205472,36.03558837005116,30.114931091535247,23.454017017549575,34.77645945690757,45.76405308647619,95.85927963904552,53.515834252430025
Saint Kitts and Nevis,41.750866401496516,32.68764406367244,30.82136481140292,23.829206555429103,36.607177936405144,40.86838066936016,100.93875259823936,74.1560387383442
United States Virgin Islands,45.30879226262996,40.074380553020774,33.71244321356591,20.79704058609317,38.27021379540845,42.37660760074706,76.81358902045471,64.56701222656802
Saint Barthelemy,39.92025932111496,47.4235725438958,31.093305134412667,22.285464411521712,36.68604887209863,34.635876493588704,76.98531176241035,77.77375728218689
Puerto Rico,39.74870567386145,29.507699480812427,35.25244031726749,36.604623042322736,38.457080582922444,36.7055420043852,82.71172512065877,62.94121962701995
Anguilla,44.915832821984466,54.04220570858285,31.727631304310705,20.71648030704334,40.52073856808654,29.058176012931582,80.39381830342128,52.69189788478634
British Virgin Islands,40.15092852775382,48.45112700951869,36.93825759627295,21.414593496114975,40.17648810057965,41.8807530396934,76.94496322132532,47.06662835559995
Jamaica,40.68513731654244,14.766891011595254,44.63253136685247,23.18035451046722,31.933828751432547,25.70583442683926,63.13630212091792,11.437064806408047
Cayman Islands,32.88396021528306,18.729779464466468,43.42211324377599,22.24530044262746,41.855873931660774,19.453406102362578,66.90728373077937,22.13314638125084
Bermuda,58.236705300514544,38.92469790002764,49.770451530516304,30.86008293676441,67.51764038918101,44.87871649326342,62.57024377625243,50.49843498604371
