delta_case,ssp,ensemble,enso_change,tele_change
2.081103036,585,CanESM5.CanOE_r1i1p2f1,-0.105345,1.108760422
1.937596739,126,CIESM_r1i1p1f1,0.1957143,0.850485087
1.933131363,245,CNRM.CM6.1.HR_r1i1p1f2,0.07355703,0.862741007
1.597285444,585,EC.Earth3.Veg_r1i1p1f1,0.304917,0.706857513
1.420599621,585,CIESM_r1i1p1f1,-0.0665167,0.71141445
1.399597178,370,MPI.ESM1.2.HR_r2i1p1f1,0.2568664,0.444050206
1.376740798,245,CanESM5.1_r1i1p1f1,0.160891,0.56528715
1.280814384,585,E3SM.1.1_r1i1p1f1,0.1163297,0.792146472
1.266812636,585,CNRM.ESM2.1_r1i1p1f2,0.1749704,0.76312704
1.266326296,245,CNRM.ESM2.1_r1i1p1f2,0.3493454,0.516414758
1.243788047,245,CIESM_r1i1p1f1,0.03042018,0.669050208
1.224208993,370,MIROC6_r25i1p1f1,0.5380929,0.396459765
1.223507231,370,KACE.1.0.G_r1i1p1f1,-0.0832232,1.03192795
0.98256231,585,CanESM5.1_r1i1p1f1,-0.0004154,0.95739969
0.949820617,245,CanESM5.CanOE_r1i1p2f1,-0.124676,0.700197659
0.934831071,585,CanESM5_r1i1p1f1,-0.101344,0.791164613
0.931775648,370,MPI.ESM1.2.HR_r6i1p1f1,0.1038328,0.489599297
0.885964381,585,HadGEM3.GC31.LL_r1i1p1f3,-0.161756,0.684929659
0.860534067,245,MIROC6_r25i1p1f1,0.3973916,0.330687352
0.832230097,126,KACE.1.0.G_r1i1p1f1,0.00881708,0.595184921
0.807829459,126,CNRM.ESM2.1_r1i1p1f2,0.3241145,0.349277706
0.760724485,245,MIROC.ES2L_r24i1p1f2,0.3102479,0.375365044
0.748428493,370,MIROC6_r5i1p1f1,0.5140632,0.117995195
0.744552361,370,MPI.ESM1.2.LR_r20i1p1f1,0.3084751,0.345315237
0.728611358,245,MIROC6_r39i1p1f1,0.4036922,0.369095009
0.694673319,126,CanESM5.1_r1i1p1f1,0.07160158,0.537518905
0.67062632,585,EC.Earth3.CC_r1i1p1f1,0.08048378,0.392157293
0.655908148,126,EC.Earth3.Veg_r1i1p1f1,0.3810511,0.277267728
0.653945209,245,MIROC.ES2L_r6i1p1f2,0.3510071,0.270026837
0.62047733,370,EC.Earth3.Veg_r1i1p1f1,0.221965,0.473514419
0.615603084,245,MIROC.ES2L_r21i1p1f2,0.385848,0.300083133
0.596893182,585,EC.Earth3.Veg.LR_r1i1p1f1,0.1898365,0.354165963
0.593204163,245,KACE.1.0.G_r1i1p1f1,-0.145757,0.671977182
0.574769577,370,MIROC6_r31i1p1f1,0.3478844,0.157632428
0.558773383,245,MIROC6_r31i1p1f1,0.3206837,0.207334313
0.556867829,370,MRI.ESM2.0_r3i1p1f1,0.1049621,0.363040861
0.552502442,585,GFDL.CM4_r1i1p1f1,0.1422633,0.358811627
0.548678831,585,MPI.ESM1.2.HR_r2i1p1f1,0.04211202,0.260338529
0.53877989,126,MIROC6_r5i1p1f1,0.3978102,0.149369962
0.530540695,370,CNRM.ESM2.1_r1i1p1f2,0.2388107,0.307335788
0.524361994,370,MIROC.ES2L_r6i1p1f2,0.3251626,0.257502409
0.523765643,126,CESM2.WACCM_r1i1p1f1,0.2252766,0.298681073
0.506351995,370,CESM2.WACCM_r1i1p1f1,0.155751,0.325748765
0.495065787,585,MIROC6_r25i1p1f1,0.1977324,0.287333208
0.485396845,245,EC.Earth3.Veg_r1i1p1f1,0.2322512,0.317092798
0.484659054,245,GFDL.CM4_r1i1p1f1,0.1318169,0.411811748
0.480711177,585,MIROC6_r23i1p1f1,0.2127048,0.299166135
0.461047403,245,MIROC6_r50i1p1f1,0.3595886,0.137189522
0.458923422,245,MPI.ESM1.2.LR_r3i1p1f1,0.2717937,0.220319352
0.456368155,245,MPI.ESM1.2.LR_r20i1p1f1,0.1729398,0.235448281
0.443134056,126,MIROC6_r25i1p1f1,0.2490768,0.217453393
0.433111753,126,MIROC6_r43i1p1f1,0.2107376,0.24854206
0.431743417,245,MIROC6_r46i1p1f1,0.239553,0.192505292
0.42924756,370,MIROC6_r39i1p1f1,0.236497,0.244359225
0.426158752,370,MRI.ESM2.0_r2i1p1f1,0.04336274,0.422388495
0.422926087,585,HadGEM3.GC31.MM_r1i1p1f3,-0.0508782,0.51749675
0.422465723,245,EC.Earth3.CC_r1i1p1f1,0.1396307,0.302220581
0.41894566,370,CMCC.CM2.SR5_r1i1p1f1,0.276585,0.21523337
0.417580311,370,MIROC6_r30i1p1f1,0.2669861,0.174889571
0.404759941,370,CanESM5_r1i1p1f1,-0.127587,0.706893814
0.403047413,245,MIROC6_r17i1p1f1,0.238647,0.252883816
0.4026415,245,MIROC6_r41i1p1f1,0.3525281,0.113274951
0.40038984,126,CAMS.CSM1.0_r1i1p1f1,0.08480171,0.293329286
0.399779267,245,MIROC.ES2L_r29i1p1f2,0.334648,0.20912284
0.397123022,370,MPI.ESM1.2.HR_r3i1p1f1,0.08831617,0.317664913
